"w";"w";"w";"w";"w";"w";"w";"w";"w";"w";"w";"w";"w";"w";"w";"w";"w";"w";"w";"w";"w";"Voltage";"Y"
97;-101;-2;-92;110;15;96;-30;106;-122;-86;52;2;-99;107;-68;88;67;12;-54;52;-115;71;-71;0.94;0.031033745539241
97;-101;-2;-92;110;15;96;-30;106;-122;-86;52;2;-99;107;-68;88;67;12;-54;52;-115;71;-71;0.92;0.052172335409967
97;-101;-2;-92;110;15;96;-30;106;-122;-86;52;2;-99;107;-68;88;67;12;-54;52;-115;71;-71;0.9;0.091600935725537
97;-101;-2;-92;110;15;96;-30;106;-122;-86;52;2;-99;107;-68;88;67;12;-54;52;-115;71;-71;0.88;0.10957196353707
97;-101;-2;-92;110;15;96;-30;106;-122;-86;52;2;-99;107;-68;88;67;12;-54;52;-115;71;-71;0.86;0.176999098647083
97;-101;-2;-92;110;15;96;-30;106;-122;-86;52;2;-99;107;-68;88;67;12;-54;52;-115;71;-71;0.84;0.228242348410139
97;-101;-2;-92;110;15;96;-30;106;-122;-86;52;2;-99;107;-68;88;67;12;-54;52;-115;71;-71;0.82;0.24326824363376
97;-101;-2;-92;110;15;96;-30;106;-122;-86;52;2;-99;107;-68;88;67;12;-54;52;-115;71;-71;0.8;0.286607172426678
97;-101;-2;-92;110;15;96;-30;106;-122;-86;52;2;-99;107;-68;88;67;12;-54;52;-115;71;-71;0.78;0.330348465937484
97;-101;-2;-92;110;15;96;-30;106;-122;-86;52;2;-99;107;-68;88;67;12;-54;52;-115;71;-71;0.76;0.406385048121715
97;-101;-2;-92;110;15;96;-30;106;-122;-86;52;2;-99;107;-68;88;67;12;-54;52;-115;71;-71;0.74;0.518215512562349
97;-101;-2;-92;110;15;96;-30;106;-122;-86;52;2;-99;107;-68;88;67;12;-54;52;-115;71;-71;0.72;0.70012077229483
97;-101;-2;-92;110;15;96;-30;106;-122;-86;52;2;-99;107;-68;88;67;12;-54;52;-115;71;-71;0.7;1
104;-109;-121;57;-33;112;-51;113;-62;-56;49;-13;-123;45;123;-111;-103;-110;-11;-60;-112;58;-101;65;1;0
104;-109;-121;57;-33;112;-51;113;-62;-56;49;-13;-123;45;123;-111;-103;-110;-11;-60;-112;58;-101;65;0.98;0.001935823947921
104;-109;-121;57;-33;112;-51;113;-62;-56;49;-13;-123;45;123;-111;-103;-110;-11;-60;-112;58;-101;65;0.96;0.003871647895841
104;-109;-121;57;-33;112;-51;113;-62;-56;49;-13;-123;45;123;-111;-103;-110;-11;-60;-112;58;-101;65;0.94;0.007758419416332
104;-109;-121;57;-33;112;-51;113;-62;-56;49;-13;-123;45;123;-111;-103;-110;-11;-60;-112;58;-101;65;0.92;0.017449740784821
104;-109;-121;57;-33;112;-51;113;-62;-56;49;-13;-123;45;123;-111;-103;-110;-11;-60;-112;58;-101;65;0.9;0.027397304860952
104;-109;-121;57;-33;112;-51;113;-62;-56;49;-13;-123;45;123;-111;-103;-110;-11;-60;-112;58;-101;65;0.88;0.033434823020895
104;-109;-121;57;-33;112;-51;113;-62;-56;49;-13;-123;45;123;-111;-103;-110;-11;-60;-112;58;-101;65;0.86;0.043811994002242
104;-109;-121;57;-33;112;-51;113;-62;-56;49;-13;-123;45;123;-111;-103;-110;-11;-60;-112;58;-101;65;0.84;0.081578701401296
104;-109;-121;57;-33;112;-51;113;-62;-56;49;-13;-123;45;123;-111;-103;-110;-11;-60;-112;58;-101;65;0.82;0.137153114803504
104;-109;-121;57;-33;112;-51;113;-62;-56;49;-13;-123;45;123;-111;-103;-110;-11;-60;-112;58;-101;65;0.8;0.225146494280839
104;-109;-121;57;-33;112;-51;113;-62;-56;49;-13;-123;45;123;-111;-103;-110;-11;-60;-112;58;-101;65;0.78;0.31960927592186
104;-109;-121;57;-33;112;-51;113;-62;-56;49;-13;-123;45;123;-111;-103;-110;-11;-60;-112;58;-101;65;0.76;0.421628557515157
104;-109;-121;57;-33;112;-51;113;-62;-56;49;-13;-123;45;123;-111;-103;-110;-11;-60;-112;58;-101;65;0.74;0.592700725593468
104;-109;-121;57;-33;112;-51;113;-62;-56;49;-13;-123;45;123;-111;-103;-110;-11;-60;-112;58;-101;65;0.72;0.816734092700811
104;-109;-121;57;-33;112;-51;113;-62;-56;49;-13;-123;45;123;-111;-103;-110;-11;-60;-112;58;-101;65;0.7;1
40;-6;-59;61;-35;110;80;78;49;-10;109;38;-123;-32;76;-8;42;-86;-119;-5;71;-11;23;-85;1;1.25263682528705E-09
40;-6;-59;61;-35;110;80;78;49;-10;109;38;-123;-32;76;-8;42;-86;-119;-5;71;-11;23;-85;0.98;3.36473487175566E-09
40;-6;-59;61;-35;110;80;78;49;-10;109;38;-123;-32;76;-8;42;-86;-119;-5;71;-11;23;-85;0.96;0.000999876365112
40;-6;-59;61;-35;110;80;78;49;-10;109;38;-123;-32;76;-8;42;-86;-119;-5;71;-11;23;-85;0.94;0.0036574014654
40;-6;-59;61;-35;110;80;78;49;-10;109;38;-123;-32;76;-8;42;-86;-119;-5;71;-11;23;-85;0.92;0.009434173422708
40;-6;-59;61;-35;110;80;78;49;-10;109;38;-123;-32;76;-8;42;-86;-119;-5;71;-11;23;-85;0.9;0.009701877574805
40;-6;-59;61;-35;110;80;78;49;-10;109;38;-123;-32;76;-8;42;-86;-119;-5;71;-11;23;-85;0.88;0.016694151475467
40;-6;-59;61;-35;110;80;78;49;-10;109;38;-123;-32;76;-8;42;-86;-119;-5;71;-11;23;-85;0.86;0.031914947734255
40;-6;-59;61;-35;110;80;78;49;-10;109;38;-123;-32;76;-8;42;-86;-119;-5;71;-11;23;-85;0.84;0.042729463634552
40;-6;-59;61;-35;110;80;78;49;-10;109;38;-123;-32;76;-8;42;-86;-119;-5;71;-11;23;-85;0.82;0.068336291126709
40;-6;-59;61;-35;110;80;78;49;-10;109;38;-123;-32;76;-8;42;-86;-119;-5;71;-11;23;-85;0.8;0.119783713901436
40;-6;-59;61;-35;110;80;78;49;-10;109;38;-123;-32;76;-8;42;-86;-119;-5;71;-11;23;-85;0.78;0.182940816189948
40;-6;-59;61;-35;110;80;78;49;-10;109;38;-123;-32;76;-8;42;-86;-119;-5;71;-11;23;-85;0.76;0.303209566285297
40;-6;-59;61;-35;110;80;78;49;-10;109;38;-123;-32;76;-8;42;-86;-119;-5;71;-11;23;-85;0.74;0.441418333047859
40;-6;-59;61;-35;110;80;78;49;-10;109;38;-123;-32;76;-8;42;-86;-119;-5;71;-11;23;-85;0.72;0.676647034653856
40;-6;-59;61;-35;110;80;78;49;-10;109;38;-123;-32;76;-8;42;-86;-119;-5;71;-11;23;-85;0.7;1
121;-112;10;-125;-104;56;127;6;90;-29;-23;54;123;-108;67;95;-56;-78;-113;54;-125;9;115;-38;1;0
121;-112;10;-125;-104;56;127;6;90;-29;-23;54;123;-108;67;95;-56;-78;-113;54;-125;9;115;-38;0.98;0
121;-112;10;-125;-104;56;127;6;90;-29;-23;54;123;-108;67;95;-56;-78;-113;54;-125;9;115;-38;0.96;0.001617799771232
121;-112;10;-125;-104;56;127;6;90;-29;-23;54;123;-108;67;95;-56;-78;-113;54;-125;9;115;-38;0.94;0.000647119908493
121;-112;10;-125;-104;56;127;6;90;-29;-23;54;123;-108;67;95;-56;-78;-113;54;-125;9;115;-38;0.92;0.002345809668286
121;-112;10;-125;-104;56;127;6;90;-29;-23;54;123;-108;67;95;-56;-78;-113;54;-125;9;115;-38;0.9;0.003640365461789
121;-112;10;-125;-104;56;127;6;90;-29;-23;54;123;-108;67;95;-56;-78;-113;54;-125;9;115;-38;0.88;0.008615415734844
121;-112;10;-125;-104;56;127;6;90;-29;-23;54;123;-108;67;95;-56;-78;-113;54;-125;9;115;-38;0.86;0.016565630781783
121;-112;10;-125;-104;56;127;6;90;-29;-23;54;123;-108;67;95;-56;-78;-113;54;-125;9;115;-38;0.84;0.02621779710492
121;-112;10;-125;-104;56;127;6;90;-29;-23;54;123;-108;67;95;-56;-78;-113;54;-125;9;115;-38;0.82;0.061666322626985
121;-112;10;-125;-104;56;127;6;90;-29;-23;54;123;-108;67;95;-56;-78;-113;54;-125;9;115;-38;0.8;0.09818269182478
121;-112;10;-125;-104;56;127;6;90;-29;-23;54;123;-108;67;95;-56;-78;-113;54;-125;9;115;-38;0.78;0.151179925781001
121;-112;10;-125;-104;56;127;6;90;-29;-23;54;123;-108;67;95;-56;-78;-113;54;-125;9;115;-38;0.76;0.204745133317471
121;-112;10;-125;-104;56;127;6;90;-29;-23;54;123;-108;67;95;-56;-78;-113;54;-125;9;115;-38;0.74;0.33964552538742
121;-112;10;-125;-104;56;127;6;90;-29;-23;54;123;-108;67;95;-56;-78;-113;54;-125;9;115;-38;0.72;0.577552920432589
121;-112;10;-125;-104;56;127;6;90;-29;-23;54;123;-108;67;95;-56;-78;-113;54;-125;9;115;-38;0.7;1
-39;73;-30;-26;115;-91;-41;-70;41;-84;-21;-88;84;-49;115;0;-117;-98;89;114;59;13;-85;-105;1;0
-39;73;-30;-26;115;-91;-41;-70;41;-84;-21;-88;84;-49;115;0;-117;-98;89;114;59;13;-85;-105;0.98;0.001652594353575
-39;73;-30;-26;115;-91;-41;-70;41;-84;-21;-88;84;-49;115;0;-117;-98;89;114;59;13;-85;-105;0.96;0.005094242347064
-39;73;-30;-26;115;-91;-41;-70;41;-84;-21;-88;84;-49;115;0;-117;-98;89;114;59;13;-85;-105;0.94;0.012792274307514
-39;73;-30;-26;115;-91;-41;-70;41;-84;-21;-88;84;-49;115;0;-117;-98;89;114;59;13;-85;-105;0.92;0.024984783413127
-39;73;-30;-26;115;-91;-41;-70;41;-84;-21;-88;84;-49;115;0;-117;-98;89;114;59;13;-85;-105;0.9;0.047103461159198
-39;73;-30;-26;115;-91;-41;-70;41;-84;-21;-88;84;-49;115;0;-117;-98;89;114;59;13;-85;-105;0.88;0.078226798941498
